            atom_x            atom_y            atom_z       effective_Z
     -0.0000000000     -0.0185816770      0.0000000000      6.0000000000
     -1.5109702072     -1.0978647380      0.0000000000      1.0000000000
      1.5109702072     -1.0978647380      0.0000000000      1.0000000000

          center_x          center_y          center_z         amplitude             decay
     -0.0000000000     -0.0185816770      0.0000000000      2.4769484123      0.4558507829
     -0.0000000000     -0.0185816770      0.0000000000      4.2920995690      1.4561260735
     -0.0000000000     -0.0185816770      0.0000000000     -0.1113444637     17.5892339938
     -1.5109702072     -1.0978647380      0.0000000000      0.0376101046      6.4891380598
     -1.5109702072     -1.0978647380      0.0000000000     -2.5738723235      0.6602381433
     -1.5109702072     -1.0978647380      0.0000000000      3.2074045664      0.6602379739
      1.5109702072     -1.0978647380      0.0000000000      0.0376101046      6.4891380598
      1.5109702072     -1.0978647380      0.0000000000     -2.5738723235      0.6602381433
      1.5109702072     -1.0978647380      0.0000000000      3.2074045664      0.6602379739

